date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:34	291/291	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202019%2000:41:11%20GMT	http://demos.themes.guide/robots.txt		(from )
19:47:34	50086/50086	---M-Z	200	added ('OK')	text/html	etag:%22c3a6-5852d1b62992a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/index.html	(from )
19:47:35	163796/163796	---M-Z	200	added ('OK')	text/css	etag:%2227fd4-5852d1b6085ea-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/css/bootstrap-custom.css	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/css/bootstrap-custom.css	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:37	322/322	---M-Z	200	added ('OK')	text/css	etag:%22142-5852d1b6085ea-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/css/demo.css	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/css/demo.css	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:37	52773/52773	---M-Z	200	added ('OK')	text/css	etag:%22ce25-5852d1b60764a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/css/animate.min.css	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/css/animate.min.css	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:38	51263/51263	---M-Z	200	added ('OK')	text/css	etag:%22c83f-5852d1b6085ea-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/css/ionicons.css?v=2.0.1	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/css/ionicons790f.css	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:39	37408/37408	---M-Z	200	added ('OK')	text/html	etag:%229220-5852d1b60570a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/blog.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/blog.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:40	31546/31546	---M-Z	200	added ('OK')	text/html	etag:%227b3a-5852d1b5a6b6a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/about.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/about.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:41	339/339	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2030%20Aug%202019%2000:41:19%20GMT	http://demos.themes.guide/bodeo/demo-v1.1.8/app	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/app	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:42	29745/29745	---M-Z	200	added ('OK')	text/html	etag:%227431-5852d1b60570a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/blog-detail.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/blog-detail.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:43	2904/2904	---M-Z	200	added ('OK')	text/html	etag:%22b58-5852d1b5a7b0a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/app/	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/app/index.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:43	22335/22335	---M-Z	200	added ('OK')	text/html	etag:%22573f-5852d1b6066aa-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/contact.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/contact.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:44	26863/26863	---M-Z	200	added ('OK')	text/html	etag:%2268ef-5852d1b6066aa-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/clients.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/clients.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:45	10424/10424	---M-Z	200	added ('OK')	text/html	etag:%2228b8-5852d1b60958a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/demos.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/demos.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:46	19172/19172	---M-Z	200	added ('OK')	text/html	etag:%224ae4-5852d1b60a52a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/error-404.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/error-404.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:47	31055/31055	---M-Z	200	added ('OK')	text/html	etag:%22794f-5852d1b60a52a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/faq.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/faq.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:48	26972/26972	---M-Z	200	added ('OK')	text/html	etag:%22695c-5852d1b60a52a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/features.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/features.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:49	23576/23576	---M-Z	200	added ('OK')	text/html	etag:%225c18-5852d1b62d7aa-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/login.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/login.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:50	20536/20536	---M-Z	200	added ('OK')	text/html	etag:%225038-5852d1b62d7aa-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/legal.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/legal.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:51	28306/28306	---M-Z	200	added ('OK')	text/html	etag:%226e92-5852d1b62e74a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/pricing.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/pricing.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:52	30516/30516	---M-Z	200	added ('OK')	text/html	etag:%227734-5852d1b62e74a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/products.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/products.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:53	30567/30567	---M-Z	200	added ('OK')	text/html	etag:%227767-5852d1b62e74a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/product-detail.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/product-detail.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:54	28209/28209	---M-Z	200	added ('OK')	text/html	etag:%226e31-5852d1b62f6ea-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/results.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/results.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:55	29541/29541	---M-Z	200	added ('OK')	text/html	etag:%227365-5852d1b6066aa-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/cart.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/cart.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:56	31791/31791	---M-Z	200	added ('OK')	text/html	etag:%227c2f-5852d1b62f6ea-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/user-profile.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/user-profile.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:57	29216/29216	---M-Z	200	added ('OK')	text/html	etag:%227220-5852d282571aa-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/dashboard.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/dashboard.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:58	24034/24034	---M-Z	200	added ('OK')	text/html	etag:%225de2-5852d1b62992a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/invoice.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/invoice.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:47:59	35014/35014	---M-Z	200	added ('OK')	text/html	etag:%2288c6-5852d1b62d7aa-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/pg-medical.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/pg-medical.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:48:01	24839/24839	---M-Z	200	added ('OK')	text/html	etag:%226107-5852d1b62e74a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/portfolio.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/portfolio.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:48:02	27045/27045	---M-Z	200	added ('OK')	text/html	etag:%2269a5-5852d1b62e74a-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/pg-restaurant.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/pg-restaurant.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
19:48:03	48071/48071	---M-Z	200	added ('OK')	text/html	etag:%22bbc7-5852d1b62d7aa-gzip%22	http://demos.themes.guide/bodeo/demo-v1.1.8/layout-video.html	bodeotheme/demos.themes.guide/bodeo/demo-v1.1.8/layout-video.html	(from http://demos.themes.guide/bodeo/demo-v1.1.8/)
